recipe_id,meal_id,recipe_name,description,instructions,prep_time,cook_time,servings,difficulty,category,diet_type,goal_tag,image_file,is_featured,rating,calories,protein,carbs,fat,fiber,tags,created_at
11,11,"Fluffy Egg White Omelette","Low-calorie high-protein omelette perfect for weight loss and cutting phase.","1. Separate 4 large egg whites into clean bowl.
2. Whisk until frothy with salt, pepper, dried herbs.
3. Lightly spray non-stick pan with oil.
4. Pour egg whites, tilt to spread thin.
5. Add spinach, sliced mushroom, bell pepper on one side.
6. Fold omelette over filling.
7. Cook 1 more minute, serve with hot sauce.",5,8,1,Easy,Breakfast,nonveg,"Weight Loss",recipes/egg_white_omelette.jpg,0,4.4,130,18.00,2.00,5.00,0.50,"breakfast,eggwhite,protein,lowcalorie,diet","2026-04-08 02:12:04"
12,12,"Classic Boiled Eggs on Toast","Simple, satisfying protein-packed breakfast with perfectly boiled eggs.","1. Bring water to full boil in saucepan.
2. Gently lower 2-3 eggs, cook 9 min for hard-boiled.
3. Transfer to ice water, peel when cool.
4. Toast 2 slices whole wheat bread.
5. Slice eggs, arrange on toast.
6. Season with salt, pepper, paprika.
7. Add sliced avocado or tomato on the side.",2,10,1,Easy,Breakfast,nonveg,"Weight Loss",recipes/boiled_eggs_toast.jpg,0,4.2,220,14.00,18.00,10.00,2.00,"breakfast,eggs,boiled,simple,protein","2026-04-08 02:12:04"
13,13,"Creamy Scrambled Eggs with Spinach","Silky, protein-rich scrambled eggs folded with iron-rich spinach.","1. Crack 3 eggs into bowl, whisk with 2 tbsp milk.
2. Heat 1 tsp butter in non-stick pan on LOW heat.
3. Add 1 cup fresh spinach, wilt for 1 min.
4. Pour egg mixture over spinach.
5. Stir gently in slow figure-8 motions.
6. Remove from heat while still slightly wet — residual heat finishes them.
7. Season, serve on toast or grain bowl.",3,7,1,Easy,Breakfast,nonveg,"Muscle Gain",recipes/scrambled_eggs.jpg,0,4.5,200,16.00,6.00,12.00,1.50,"breakfast,eggs,scrambled,spinach,protein","2026-04-08 02:12:04"
14,14,"Protein Chicken Sausage Wrap","High-protein breakfast wrap with grilled chicken sausage, egg, and salad.","1. Grill 2 chicken sausages till browned all over (8 min).
2. Scramble 1 egg in separate pan with pinch of salt.
3. Warm 1 large whole wheat tortilla on dry pan.
4. Spread 1 tbsp hummus or mustard on tortilla.
5. Add sliced sausage, scrambled egg.
6. Add shredded lettuce, tomato slice, cheese.
7. Roll tight, slice diagonally, serve.",5,12,1,Easy,Breakfast,nonveg,"Muscle Gain",recipes/chicken_sausage_wrap.jpg,0,4.3,320,22.00,26.00,14.00,2.00,"breakfast,chicken,wrap,protein,highcalorie","2026-04-08 02:12:04"
15,15,"Tuna Avocado Power Toast","Omega-rich tuna on avocado toast — double protein and healthy fat bomb.","1. Drain 1 small can tuna in water completely.
2. Mix tuna with 1 tsp lemon juice, salt, herbs.
3. Toast 2 slices sourdough or wheat bread.
4. Mash 1/2 avocado with lemon, salt, black pepper.
5. Spread avocado generously on toast.
6. Pile tuna mixture on top.
7. Add capers, red onion rings, everything bagel seasoning.",5,3,1,Easy,Breakfast,nonveg,"Muscle Gain",recipes/tuna_sandwich.jpg,0,4.5,290,22.00,22.00,14.00,5.00,"breakfast,tuna,avocado,omega3,protein","2026-04-08 02:12:04"
16,16,"Apple Almond Butter Snack","Simple, satisfying snack with natural sugars, healthy fats, and fiber.","1. Core 1 medium apple, slice into 8 wedges.
2. Arrange on plate in fan pattern.
3. Add 1.5 tbsp natural almond or peanut butter.
4. Sprinkle a few raisins or granola.
5. Add pinch of cinnamon on the butter.
6. Optional: drizzle tiny bit of honey.
7. Eat within 30 min for best freshness.",3,0,1,Easy,Snack,veg,All,recipes/apple_almond.jpg,0,4.4,180,4.50,20.00,10.00,4.00,"snack,apple,almondButter,fiber,healthy","2026-04-08 02:12:04"
17,17,"Crunchy Ghee Roasted Makhana","Air-popped lotus seeds roasted in ghee — a zero-junk Indian superfood snack.","1. Heat 1 tsp ghee in wide pan on low-medium.
2. Add 2 cups makhana, stir continuously.
3. Roast 8-10 min till crispy throughout.
4. Remove from heat.
5. Add salt, chili powder, chaat masala.
6. Toss well, cool completely — they crisp more on cooling.
7. Store airtight, eat within 3 days.",2,10,2,Easy,Snack,veg,"Weight Loss",recipes/makhana.jpg,0,4.5,110,3.50,14.00,5.00,0.50,"snack,makhana,lotus,lowcalorie,crunchy","2026-04-08 02:12:04"
18,18,"Trail Mix Nuts and Seeds","Energy-dense mix of nuts and seeds — perfect pre-workout or desk snack.","1. Measure: 10 almonds, 8 cashews, 5 walnuts.
2. Add 1 tsp pumpkin seeds, 1 tsp sunflower seeds.
3. Add a few dried cranberries or raisins.
4. Optional: lightly toast in dry pan 3 min for crunch.
5. Season with tiny pinch of himalayan salt.
6. Mix all together in small bowl.
7. Portion into 30g servings for calorie control.",3,3,4,Easy,Snack,veg,All,recipes/mixed_nuts.jpg,0,4.3,170,5.00,8.00,14.00,2.50,"snack,nuts,seeds,trailmix,energy","2026-04-08 02:12:04"
19,19,"Rainbow Seasonal Fruit Bowl","Colorful vitamin-rich fruit bowl with a variety of textures.","1. Cut seasonal fruits: mango, papaya, watermelon, grapes.
2. Slice banana, add orange segments.
3. Mix together in large bowl.
4. Sprinkle chaat masala and lemon juice (Indian style).
5. Or: add honey and mint for Mediterranean style.
6. Top with pomegranate seeds for antioxidants.
7. Serve chilled.",8,0,2,Easy,Snack,veg,"Weight Loss",recipes/fruit_salad.jpg,0,4.2,120,2.00,28.00,0.50,4.00,"snack,fruit,vitamins,antioxidants,refreshing","2026-04-08 02:12:04"
20,20,"Roasted Garlic Hummus with Veggies","Creamy homemade hummus with roasted garlic and fresh vegetable sticks.","1. Drain and rinse 1 can chickpeas.
2. Roast 4 garlic cloves (skins on) at 200°C for 20 min.
3. Squeeze roasted garlic out.
4. Blend chickpeas, roasted garlic, 3 tbsp tahini, lemon juice.
5. Add 2 tbsp olive oil, cumin, salt — blend smooth.
6. Add cold water for desired consistency.
7. Plate with drizzle of olive oil, paprika. Serve with cucumber, carrot, bell pepper sticks.",5,20,4,Easy,Snack,veg,All,recipes/hummus_veggies.jpg,0,4.6,180,6.50,20.00,8.50,5.50,"snack,hummus,chickpeas,veggies,protein","2026-04-08 02:12:04"
21,21,"Zesty Masala Sprouts Chaat","Protein-packed sprouted moong with tangy chutneys and crunchy sev.","1. Sprout moong dal 2 days ahead (rinse twice daily).
2. Lightly steam sprouts 2 min to remove rawness.
3. Cool completely.
4. Mix: chopped onion, tomato, cucumber, green chili.
5. Add chaat masala, roasted cumin, lemon juice, salt.
6. Add green chutney and tamarind chutney to taste.
7. Toss well, top with sev, coriander, pomegranate.",10,5,2,Easy,Snack,veg,"Weight Loss",recipes/sprouts_chaat.jpg,0,4.4,140,9.50,20.00,2.00,5.00,"snack,sprouts,protein,chaat,indian","2026-04-08 02:12:04"
22,22,"Spicy Chicken Tikka Bites","Tender marinated chicken pieces grilled to perfection — a lean protein snack.","1. Cut 200g chicken breast into small cubes.
2. Marinate: yogurt, lemon, ginger-garlic paste, tikka masala, salt.
3. Marinate minimum 2 hours, overnight is best.
4. Skewer on toothpicks or small skewers.
5. Grill on high heat 10-12 min, turning halfway.
6. Should have slight char on outside.
7. Serve with mint chutney and lemon wedge.",130,12,2,Easy,Snack,nonveg,"Muscle Gain",recipes/chicken_tikka.jpg,0,4.6,160,22.00,4.00,7.00,0.50,"snack,chicken,tikka,protein,grill","2026-04-08 02:12:04"
23,23,"Perfect Hard Boiled Eggs","Nutrition-dense snack that is portable, filling, and supremely high in protein.","1. Place eggs in single layer in saucepan.
2. Cover with cold water by 1 inch.
3. Bring to boil over medium-high heat.
4. Once boiling, reduce heat, cook exactly 10 min.
5. Transfer immediately to ice water.
6. Rest 15 min — this makes peeling easy.
7. Peel, slice, season with salt, pepper, paprika.",0,12,2,Easy,Snack,nonveg,"Weight Loss",recipes/hard_boiled_eggs.jpg,0,4.2,140,12.00,1.00,10.00,0.00,"snack,eggs,boiled,protein,portable","2026-04-08 02:12:04"
24,24,"Tuna Protein Crackers","Quick assembly protein snack with omega-3 rich tuna on whole grain crackers.","1. Drain 1 small can (85g) tuna in water.
2. Mix tuna with 1 tsp mayo, lemon juice, salt, pepper.
3. Add finely chopped celery or cucumber for crunch.
4. Arrange 8-10 whole grain crackers on plate.
5. Top each cracker with tuna mixture.
6. Add sliced cherry tomato on top.
7. Garnish with dill or parsley.",5,0,1,Easy,Snack,nonveg,"Weight Loss",recipes/tuna_crackers.jpg,0,4.1,160,16.00,14.00,4.00,1.50,"snack,tuna,crackers,omega3,protein","2026-04-08 02:12:04"
25,25,"Restaurant-Style Dal Tadka","Creamy arhar dal tempered with ghee, cumin, garlic, and whole spices.","1. Pressure cook 1 cup arhar dal with 3 cups water, turmeric, salt (3 whistles).
2. Mash slightly, adjust consistency with water.
3. Heat ghee in tadka pan on high heat.
4. Add cumin seeds — let them splutter.
5. Add chopped onion, cook till deep golden (8 min).
6. Add ginger-garlic paste, cook 2 min.
7. Add tomatoes, red chili, garam masala — cook 5 min.
8. Pour tadka over dal, stir, garnish coriander.
9. Serve with steamed rice and pickle.",10,25,3,Medium,Lunch,veg,All,recipes/dal_tadka_rice.jpg,1,4.7,380,16.50,58.00,7.50,8.00,"lunch,dal,protein,indian,comfort","2026-04-08 02:12:04"
26,26,"Silky Paneer Butter Masala","Velvety rich tomato-cashew curry with soft paneer cubes — restaurant quality.","1. Blend: 4 tomatoes, 10 cashews, 1 onion to smooth paste.
2. Heat butter, add bay leaf, cardamom, cinnamon.
3. Pour paste, cook on medium 10-12 min, stirring often.
4. Oil will separate at edges — this is key.
5. Add kashmiri red chili, garam masala, sugar, salt.
6. Add cream, stir, simmer 5 min.
7. Cube 250g paneer, add to gravy.
8. Cook 5 min gently.
9. Add kasuri methi, serve with hot rotis.",15,30,3,Medium,Lunch,veg,"Weight Gain",recipes/paneer_butter.jpg,1,4.9,480,18.00,40.00,28.00,3.00,"lunch,paneer,butter,rich,indian","2026-04-08 02:12:04"
27,27,"North Indian Rajma Chawal","Kidney beans curry — complete plant-based protein with steamed rice.","1. Soak rajma overnight, drain.
2. Pressure cook with fresh water and salt (5-6 whistles).
3. Heat oil, add bay leaf, cumin.
4. Fry onion till brown (8 min), add ginger-garlic.
5. Add tomato puree, all powdered spices — cook till oil leaves.
6. Add boiled rajma with 1 cup water.
7. Simmer 15-20 min till thick, creamy gravy.
8. Mash a few beans against pan side for thickness.
9. Garnish coriander, serve with steamed rice.",480,30,4,Medium,Lunch,veg,All,recipes/rajma_chawal.jpg,0,4.6,420,18.00,72.00,6.50,12.00,"lunch,rajma,beans,protein,northindian","2026-04-08 02:12:04"
28,29,"Luscious Palak Paneer","Iron-rich spinach curry with soft paneer — a complete nutritional powerhouse.","1. Blanch 3 cups spinach in boiling water 2 min.
2. Immediately transfer to ice water (preserves green color).
3. Blend spinach to smooth paste.
4. Heat oil, add cumin, chopped onion.
5. Add ginger-garlic paste, cook 3 min.
6. Add tomato, red chili, coriander powder — cook 5 min.
7. Add spinach puree, stir.
8. Add cream, salt, garam masala.
9. Add 200g paneer cubes, cook 5 min gently.",10,25,3,Medium,Lunch,veg,"Muscle Gain",recipes/palak_paneer.jpg,1,4.8,350,16.50,28.00,18.00,4.50,"lunch,palak,paneer,iron,spinach,protein","2026-04-08 02:12:04"
29,33,"Quinoa Vegetable Power Bowl","Complete amino acid profile in one bowl — inspired by MyFitnessPal power users.","1. Rinse 1 cup quinoa thoroughly (removes bitter coating).
2. Cook in 2 cups water with pinch of salt (15 min, let steam 5 min).
3. Toss broccoli, bell pepper, sweet potato in olive oil.
4. Roast vegetables at 200°C for 25 min.
5. Make tahini dressing: tahini, lemon, garlic, water, salt.
6. Layer quinoa in bowl, add roasted veggies.
7. Add 1/4 can chickpeas, sliced avocado.
8. Drizzle dressing generously.
9. Top with pumpkin seeds and herbs.",15,30,2,Easy,Lunch,veg,"Muscle Gain",recipes/quinoa_bowl.jpg,1,4.7,380,14.00,52.00,14.00,8.00,"lunch,quinoa,protein,bowl,healthy,vegan","2026-04-08 02:12:04"
30,35,"Zesty Black Bean Tacos","Mexican-inspired tacos with spiced black beans, avocado, and fresh salsa.","1. Heat oil in pan, add cumin and garlic.
2. Add 1 can black beans (drained), season chili powder, salt.
3. Mash half the beans roughly for creamy texture.
4. Warm 6 small corn tortillas directly on flame.
5. Make salsa: tomato, onion, coriander, lime, jalapeno.
6. Assemble: beans, shredded purple cabbage, fresh salsa.
7. Top with avocado slices, squeeze of lime.
8. Add hot sauce if desired.",15,15,2,Easy,Lunch,veg,"Muscle Gain",recipes/black_bean_tacos.jpg,0,4.5,180,11.00,24.00,5.00,8.00,"lunch,tacos,mexican,blackbean,vegan","2026-04-08 02:12:04"
31,36,"Mediterranean Chickpea Spinach Salad","Iron-rich spinach with crispy roasted chickpeas and lemon dressing.","1. Drain chickpeas, toss with olive oil, cumin, paprika, salt.
2. Roast at 200°C for 25-30 min till crispy.
3. Make lemon dressing: lemon juice, olive oil, garlic, salt, honey.
4. In large bowl, toss baby spinach with dressing.
5. Add roasted chickpeas, cherry tomatoes, cucumber.
6. Add kalamata olives, thinly sliced red onion.
7. Crumble feta on top.
8. Add toasted pine nuts or pumpkin seeds.",5,25,2,Easy,Lunch,veg,"Weight Loss",recipes/chickpea_salad.jpg,0,4.3,260,12.50,32.00,9.00,7.00,"lunch,salad,chickpeas,mediterranean,iron","2026-04-08 02:12:04"
32,37,"Teriyaki Tofu Vegetable Stir Fry","Japanese-inspired protein stir fry with crispy tofu and colourful vegetables.","1. Press 400g firm tofu between towels 20 min.
2. Cube and marinate in teriyaki sauce 15 min.
3. Make extra teriyaki: soy sauce, mirin, sake, brown sugar.
4. Heat wok on highest heat with sesame oil.
5. Cook tofu till golden on all 4 sides (8-10 min). Set aside.
6. Stir fry vegetables: broccoli, snap peas, carrot, mushroom.
7. Add tofu back, pour sauce, toss.
8. Serve over steamed jasmine rice.
9. Garnish sesame seeds and spring onion.",20,20,2,Medium,Lunch,veg,"Muscle Gain",recipes/tofu_stir_fry.jpg,0,4.3,220,14.50,16.00,11.00,4.00,"lunch,tofu,teriyaki,japanese,protein","2026-04-08 02:12:04"
33,41,"Herb Grilled Chicken Brown Rice Bowl","Lean protein meets complex carbs — the perfect macro-balanced lunch.","1. Pound chicken breast to even thickness.
2. Marinate 30 min: yogurt, lemon, garlic, cumin, herbs, chili.
3. Cook brown rice (35 min) — prep in advance.
4. Grill chicken on HIGH heat 6-7 min each side.
5. Let rest 5 min before slicing — CRUCIAL for juiciness.
6. Slice against grain into strips.
7. Build bowl: rice base, chicken strips, cucumber raita.
8. Add cherry tomatoes, green onion.
9. Drizzle extra lemon.",35,15,2,Medium,Lunch,nonveg,"Muscle Gain",recipes/grilled_chicken_rice.jpg,1,4.8,420,38.00,42.00,10.00,4.00,"lunch,chicken,grilled,rice,protein,mealprep","2026-04-08 02:12:04"
34,43,"Authentic Kerala Fish Curry","Tangy coconut-based fish curry with kokum — South Indian coastal comfort food.","1. Marinate fish: turmeric, salt, chili powder — 15 min.
2. Heat coconut oil in clay pot or deep pan.
3. Add mustard seeds, curry leaves, dried red chilies.
4. Add shallots, ginger, green chili — saute 5 min.
5. Add tomatoes, red chili powder, coriander powder.
6. Add thick coconut milk, piece of kokum, salt.
7. Simmer 5 min till sauce thickens.
8. Add marinated fish pieces.
9. Cook gently 10 min, garnish curry leaves.",15,25,3,Medium,Lunch,nonveg,All,recipes/fish_curry.jpg,0,4.6,380,28.00,40.00,12.00,4.00,"lunch,fish,kerala,coconut,curry,seafood","2026-04-08 02:12:04"
35,47,"Lemon Garlic Herb Baked Salmon","Omega-3 rich salmon fillet baked with aromatic garlic, herbs, and lemon.","1. Preheat oven to 200°C, line tray with parchment.
2. Pat salmon dry — important for good crust.
3. Mix: 3 tbsp olive oil, 4 garlic cloves minced, rosemary, thyme, lemon zest.
4. Brush generously on flesh side.
5. Season well with salt and black pepper.
6. Bake 15-18 min — it should flake easily.
7. Squeeze fresh lemon over salmon.
8. Serve with steamed asparagus and quinoa.
9. Garnish capers and fresh dill.",5,18,2,Easy,Lunch,nonveg,"Weight Loss",recipes/baked_salmon.jpg,1,4.9,350,32.00,16.00,16.00,3.00,"lunch,salmon,omega3,baked,healthy,protein","2026-04-08 02:12:04"
36,49,"Macro-Perfect Chicken Breast Salad","High-protein salad with grilled chicken, avocado, and Greek yogurt dressing.","1. Season chicken breast with Italian herbs, garlic, salt, pepper.
2. Sear in hot pan 6-7 min each side on medium-high.
3. Rest 5 min, slice thinly against grain.
4. Make dressing: Greek yogurt, lemon, Dijon mustard, garlic, herbs.
5. Toss romaine, cucumber, cherry tomatoes, avocado.
6. Add red onion, corn kernels if desired.
7. Plate salad, arrange chicken strips on top.
8. Drizzle yogurt dressing generously.
9. Top with toasted pumpkin seeds.",10,15,2,Easy,Lunch,nonveg,"Muscle Gain",recipes/chicken_breast_salad.jpg,1,4.7,380,36.00,20.00,16.00,5.00,"lunch,chicken,salad,protein,healthy","2026-04-08 02:12:04"
37,50,"Tuna Brown Rice Macro Bowl","Complete macro meal with perfect protein-carb-fat ratios in one bowl.","1. Cook 1 cup brown rice (40 min) — batch cook ahead.
2. Drain 1 can tuna in water completely.
3. Mix tuna with lemon, dill, celery, salt, pepper.
4. Slice: avocado, cucumber, cherry tomatoes.
5. Build bowl: rice base (1 cup cooked).
6. Add tuna, avocado, veggies arranged by color.
7. Add edamame for extra protein.
8. Make dressing: sesame oil, soy sauce, ginger, honey.
9. Drizzle dressing, top sesame seeds.",5,35,2,Easy,Lunch,nonveg,"Muscle Gain",recipes/tuna_rice_bowl.jpg,0,4.5,360,28.00,38.00,10.00,4.00,"lunch,tuna,rice,bowl,mealprep,omega3","2026-04-08 02:12:04"
38,56,"Healing Mung Bean Khichdi","Detoxifying one-pot dal-rice — Ayurvedic superfood for gut healing.","1. Wash 1/2 cup rice and 1/4 cup split moong dal together.
2. Soak 20 min, drain.
3. Pressure cook with 3 cups water, turmeric, salt (3 whistles).
4. Heat ghee, add cumin, asafoetida (hing), ginger.
5. Add vegetables: carrot, peas, green beans.
6. Cook 5 min, add to khichdi.
7. Mix well, add ghee generously.
8. Adjust water for porridge consistency.
9. Serve with yogurt, pickle, and papad.",5,20,2,Easy,Dinner,veg,"Weight Loss",recipes/khichdi.jpg,1,4.6,220,10.00,38.00,3.50,5.00,"dinner,khichdi,detox,comfort,easy,digestive","2026-04-08 02:12:04"
39,60,"Ginger Teriyaki Tofu","Crispy baked tofu with ginger teriyaki glaze — better than takeout.","1. Press tofu 30 min, cube into 2cm pieces.
2. Toss with cornstarch, salt — this creates crispiness.
3. Bake at 200°C for 25 min, flipping halfway.
4. Sauce: soy sauce, mirin, fresh ginger, garlic, sesame oil, honey.
5. Simmer sauce 5 min till slightly thick.
6. Toss crispy tofu in sauce.
7. Serve over rice noodles or cauliflower rice.
8. Garnish sesame seeds, green onion, chili flakes.",35,25,2,Medium,Dinner,veg,"Muscle Gain",recipes/tofu_stir_fry.jpg,0,4.3,220,14.00,16.00,11.00,4.00,"dinner,tofu,teriyaki,japanese,vegan","2026-04-08 02:12:04"
40,64,"Low-Carb Zucchini Noodles Pesto","Spiralized zucchini with vibrant homemade basil pesto — guilt-free pasta night.","1. Spiralize 3 medium zucchinis or use vegetable peeler for ribbons.
2. Blend pesto: 2 cups basil, 3 tbsp pine nuts, 2 garlic, parmesan, olive oil.
3. Heat 1 tsp olive oil, add zucchini noodles.
4. Toss quickly on HIGH heat — only 3 min or they go soggy.
5. Remove from heat.
6. Toss with 3-4 tbsp pesto.
7. Add halved cherry tomatoes.
8. Season with salt, cracked pepper.
9. Top with extra parmesan and pine nuts.",15,5,2,Easy,Dinner,veg,"Weight Loss",recipes/zucchini_noodles.jpg,0,4.2,160,5.00,12.00,12.00,5.00,"dinner,zucchini,pesto,lowcarb,keto,light","2026-04-08 02:12:04"
41,71,"Mediterranean Lemon Grilled Fish","Light, protein-rich grilled fish — ideal weight-loss dinner.","1. Score fish fillet diagonally 3 times on each side.
2. Marinate 20 min: lemon juice, garlic, fresh herbs, olive oil, salt, pepper.
3. Bring fish to room temperature before grilling.
4. Preheat grill or grill pan to high — very hot.
5. Grill 4-5 min each side depending on thickness.
6. Fish is done when it flakes easily with fork.
7. Plate on bed of mixed salad greens.
8. Add lemon wedge and drizzle extra olive oil.
9. Garnish fresh herbs.",25,10,2,Easy,Dinner,nonveg,"Weight Loss",recipes/grilled_fish.jpg,0,4.5,280,26.00,10.00,14.00,2.00,"dinner,fish,grilled,protein,mediterranean,light","2026-04-08 02:12:04"
42,73,"One-Tray Herb Baked Chicken","Complete meal — chicken thighs roasted with vegetables on one baking tray.","1. Preheat oven to 200°C.
2. Cube vegetables: sweet potato, carrot, broccoli, zucchini, onion.
3. Toss veggies with olive oil, thyme, rosemary, garlic, salt, pepper.
4. Rub chicken thighs with paprika, garlic powder, cumin, salt.
5. Place chicken and veggies on single large baking tray.
6. Bake 40 min, flip veggies halfway.
7. Chicken should be golden with juices running clear.
8. Rest 5 min before serving.
9. Drizzle tray juices over everything.",15,40,3,Easy,Dinner,nonveg,"Muscle Gain",recipes/baked_chicken.jpg,1,4.7,380,34.00,18.00,18.00,4.00,"dinner,chicken,baked,mealprep,vegetables,easy","2026-04-08 02:12:04"
